name,ttm,12/31/25,12/31/24,12/31/23,12/31/22,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03,12/31/02,12/31/01,12/31/00,12/31/99,12/31/98,12/31/97,12/31/96,12/31/95,12/31/94,12/31/93,12/31/92,12/31/91,12/31/90,12/31/89
Basic Average Shares,"115,961,000","118,171,000","126,136,000","127,375,000","126,657,000","125,063,000","123,450,000","123,279,000","123,230,000","123,060,638","123,557,000","128,373,000","135,445,000","139,910,000","141,416,000","143,512,000","143,288,000","143,260,000","145,372,000","160,500,000","151,756,000","112,380,952","107,436,000","106,592,000","106,184,000","105,996,000","105,760,000","105,488,000","93,552,000","59,102,041","57,200,000","54,000,000","53,512,000","53,227,092","53,333,333","53,333,333","54,634,146","63,321,033"
Diluted Average Shares,"117,716,000","119,926,000","128,372,000","128,708,000","127,899,000","126,775,000","123,450,000","124,289,000","123,975,000","123,870,968","124,389,000","129,372,000","136,801,000","141,878,000","143,568,000","146,840,000","147,144,000","144,616,000","145,372,000","161,696,000","151,756,000","134,092,000","107,436,000","106,920,000","106,184,000","105,996,000","105,760,000","106,028,000","105,468,000","82,039,660","90,000,000","83,200,000","78,392,000","53,227,092","53,333,333","53,333,333","54,634,146","68,366,534"
Total Operating Income as Reported,"221,000,000","303,000,000","570,000,000","394,000,000","70,000,000","685,000,000","-1,775,000,000","1,063,000,000","643,000,000","1,208,000,000","1,306,000,000","1,298,000,000","962,000,000","838,000,000","532,000,000","449,000,000","471,000,000","267,400,000","-172,200,000","210,900,000","-87,300,000","166,500,000","-79,800,000","-17,500,000","-88,900,000","-126,300,000","-33,100,000","199,900,000","211,000,000","139,000,000","89,000,000","75,900,000","74,998,000",,,,,
Rent Expense Supplemental,"1,407,000,000","1,359,000,000","988,000,000","888,000,000","872,000,000","809,000,000","716,000,000","862,000,000","814,000,000","734,000,000","434,000,000","401,000,000","389,000,000","381,000,000","359,000,000","354,000,000","372,000,000","376,900,000","386,800,000","404,400,000","384,200,000","-395,400,000","-372,500,000","-359,800,000","-330,700,000","-314,200,000","-285,500,000","-288,300,000","-275,800,000","-250,100,000","-243,600,000","-172,100,000","-168,500,000",,,,,
Total Expenses,"13,987,000,000","13,686,000,000","10,820,000,000","9,589,000,000","8,996,000,000","5,502,000,000","4,488,000,000","7,674,000,000","7,489,000,000","6,570,000,000","4,502,000,000","4,268,000,000","4,436,000,000","4,318,000,000","4,125,000,000","3,830,000,000","3,348,000,000","2,378,600,000","3,048,300,000","2,650,600,000","2,628,500,000","2,808,800,000","4,909,000,000","2,462,300,000","2,313,000,000","4,046,800,000","3,973,300,000","3,351,100,000","3,021,100,000","1,555,700,000","2,822,100,000","2,413,900,000","2,247,022,000","1,145,100,000","1,210,300,000","1,069,400,000","1,018,500,000","846,600,000"
Net Income from Continuing & Discontinued Operation,"73,000,000","100,000,000","395,000,000","235,000,000","58,000,000","478,000,000","-1,324,000,000","769,000,000","437,000,000","960,000,000","797,000,000","848,000,000","605,000,000","508,000,000","316,000,000","245,000,000","251,000,000","121,600,000","-135,900,000","124,300,000","-52,600,000","84,500,000","-15,300,000","13,500,000","-67,200,000","-43,400,000","-20,400,000","134,200,000","124,400,000","72,400,000","38,000,000","17,300,000","22,531,000","-30,900,000","-80,300,000","10,300,000","17,200,000","42,900,000"
Normalized Income,"189,400,000","271,500,000","633,525,000","571,069,000","486,040,000","469,640,000","-709,840,000","802,308,000","535,604,000","1,056,048,000","867,902,000","868,672,000","586,370,000","508,000,000","316,000,000","269,219,000","259,036,945.81","121,840,000","-124,936,210.13","126,841,795.51","-66,460,000","82,775,510.20","-10,100,970.87","-35,400,000","-73,141,060.90","-33,694,803.15","-20,779,182.16","130,125,962.85","129,025,440.31","69,880,000","36,440,000","17,780,000","19,444,600","-36,702,183.41","-88,221,400.16","-3,560,493.83","5,037,142.86","31,261,904.76"
Interest Income,"87,000,000","94,000,000","101,000,000","80,000,000","53,000,000","25,000,000","31,000,000","42,000,000","38,000,000","34,000,000","27,000,000","21,000,000","21,000,000","18,000,000","19,000,000","22,000,000","29,000,000","40,200,000","42,400,000","53,900,000","54,300,000","30,900,000",,,,,,,,,,,,,,,,
Interest Expense,"247,000,000","235,000,000","142,000,000","94,000,000","94,000,000","117,000,000","87,000,000","63,000,000","73,000,000","86,000,000","30,000,000","8,000,000","28,000,000","35,000,000","46,000,000","75,000,000","102,000,000","104,300,000","79,100,000","60,200,000","102,700,000","63,000,000",,,,,,,,,,,,,,,,
Net Interest Income,"-160,000,000","-141,000,000","-41,000,000","-14,000,000","-41,000,000","-92,000,000","-56,000,000","-21,000,000","-35,000,000","-52,000,000","-3,000,000","13,000,000","-7,000,000","-17,000,000","-27,000,000","-53,000,000","-73,000,000","-64,100,000","-36,700,000","-6,300,000","-48,400,000","-32,100,000",,,,,,,,,,,,,,,,
EBIT,"309,000,000","381,000,000","687,000,000","417,000,000","173,000,000","746,000,000","-1,753,000,000","1,079,000,000","658,000,000","1,245,000,000","1,346,000,000","1,320,000,000","1,003,000,000","851,000,000","560,000,000","469,000,000","508,000,000","307,200,000","-134,100,000","260,700,000","14,900,000","200,200,000","-2,185,200,000","-17,500,000","-88,900,000","-1,894,000,000","-1,779,300,000","-1,269,100,000","-1,123,400,000","183,700,000","-1,229,900,000","-996,400,000","-931,402,000","-16,800,000","-94,900,000","34,600,000","28,500,000","69,900,000"
EBITDA,"1,114,000,000","1,176,000,000","1,270,000,000","868,000,000","588,000,000","1,140,000,000","-1,333,000,000","1,502,000,000","1,056,000,000","1,617,000,000","1,709,000,000","1,640,000,000","1,297,000,000","1,121,000,000","824,000,000","716,000,000","738,000,000","526,400,000","70,500,000","438,100,000","172,400,000","343,600,000","-1,980,000,000","184,700,000","105,800,000","-1,686,200,000","-1,671,800,000","-1,134,200,000","-1,007,200,000","287,100,000","-1,127,800,000","-903,800,000","-853,857,000","41,600,000","-38,100,000","86,400,000","89,100,000","116,100,000"
Reconciled Cost of Revenue,"12,481,000,000","12,221,000,000","9,617,000,000","8,557,000,000","7,984,000,000","4,822,000,000","3,980,000,000","6,802,000,000","6,591,000,000","5,640,000,000","3,887,000,000","3,701,000,000","3,929,000,000","3,861,000,000","3,709,000,000","3,420,000,000","2,993,000,000","713,800,000","1,508,600,000","1,102,400,000","1,062,700,000","2,133,000,000","1,763,900,000","1,536,700,000","1,430,900,000","1,390,000,000","1,675,700,000","1,130,600,000","1,017,500,000","1,237,100,000","1,040,700,000","875,900,000","816,946,000","849,800,000","858,400,000","777,400,000","754,700,000","609,100,000"
Reconciled Depreciation,"805,000,000","795,000,000","583,000,000","451,000,000","415,000,000","394,000,000","420,000,000","423,000,000","398,000,000","372,000,000","363,000,000","320,000,000","294,000,000","270,000,000","264,000,000","247,000,000","230,000,000","219,200,000","204,600,000","177,400,000","157,500,000","143,400,000","205,200,000","202,200,000","194,700,000","207,800,000","-107,500,000","134,900,000","116,200,000","-103,400,000","102,100,000","92,600,000","77,545,000","-58,400,000","-56,800,000","-51,800,000","-60,600,000","-46,200,000"
Net Income from Continuing Operation Net Minority Interest,"73,000,000","100,000,000","395,000,000","235,000,000","58,000,000","478,000,000","-1,324,000,000","769,000,000","437,000,000","960,000,000","797,000,000","848,000,000","605,000,000","508,000,000","316,000,000","245,000,000","251,000,000","121,600,000","-135,900,000","124,300,000","-52,600,000","84,500,000","-15,300,000","13,500,000","-67,200,000","-43,400,000","-20,400,000","134,200,000","124,400,000","72,400,000","38,000,000","17,300,000","22,531,000","-30,900,000","-80,300,000","10,300,000","17,200,000","42,900,000"
Total Unusual Items Excluding Goodwill,"-194,000,000","-250,000,000","-329,000,000","-461,000,000","-580,000,000","11,000,000","-853,000,000","-44,000,000","-132,000,000","-116,000,000","-117,000,000","-32,000,000","30,000,000",0,0,"-39,000,000","-13,000,000","-400,000","-17,200,000","-4,100,000","23,100,000","2,800,000","-7,000,000","81,500,000","9,000,000","-14,200,000","500,000","6,700,000","-7,600,000","4,200,000","2,600,000","-800,000","5,144,000","8,600,000","12,400,000","21,800,000","19,800,000","18,800,000"
Total Unusual Items,"-194,000,000","-250,000,000","-329,000,000","-461,000,000","-580,000,000","11,000,000","-853,000,000","-44,000,000","-132,000,000","-116,000,000","-117,000,000","-32,000,000","30,000,000",0,0,"-39,000,000","-13,000,000","-400,000","-17,200,000","-4,100,000","23,100,000","2,800,000","-7,000,000","81,500,000","9,000,000","-14,200,000","500,000","6,700,000","-7,600,000","4,200,000","2,600,000","-800,000","5,144,000","8,600,000","12,400,000","21,800,000","19,800,000","18,800,000"
Normalized EBITDA,"1,308,000,000","1,426,000,000","1,599,000,000","1,329,000,000","1,168,000,000","1,129,000,000","-480,000,000","1,546,000,000","1,188,000,000","1,733,000,000","1,826,000,000","1,672,000,000","1,267,000,000","1,121,000,000","824,000,000","755,000,000","751,000,000","526,800,000","87,700,000","442,200,000","149,300,000","340,800,000","-1,973,000,000","103,200,000","96,800,000","-1,672,000,000","-1,672,300,000","-1,140,900,000","-999,600,000","282,900,000","-1,130,400,000","-903,000,000","-859,001,000","33,000,000","-50,500,000","64,600,000","69,300,000","97,300,000"
Tax Rate for Calcs,0.4,0.314,0.275,0.271,0.262,0.24,0.28,0.243,0.253,0.172,0.394,0.354,0.379,0.377,0.385,0.379,0.382,0.4,0.363,0.38,0.4,0.384,0.257,0.4,0.34,0.317,0.242,0.392,0.391,0.4,0.4,0.4,0.4,0.325,0.361,0.364,0.386,0.381
Tax Effect of Unusual Items,"-77,600,000","-78,500,000","-90,475,000","-124,931,000","-151,960,000","2,640,000","-238,840,000","-10,692,000","-33,396,000","-19,952,000","-46,098,000","-11,328,000","11,370,000",0,0,"-14,781,000","-4,963,054.19","-160,000","-6,236,210.13","-1,558,204.49","9,240,000","1,075,510.20","-1,800,970.87","32,600,000","3,058,939.10","-4,494,803.15","120,817.84","2,625,962.85","-2,974,559.69","1,680,000","1,040,000","-320,000","2,057,600","2,797,816.59","4,478,599.84","7,939,506.17","7,637,142.86","7,161,904.76"
